Serial_number:,,,,,,
2016717,,,,,,
Project ID:,,,,,,
ESC,,,,,,
Location:,,,,,,
EDC 20,,,,,,
Elevation,Elevation of #153,,,,,
47,396,,,,,
LEVEL,,,,,,
UNIT: kPa,,,,,,
Offset: 0.000000 kPa,,,,,,
TEMPERATURE,,,,,,
UNIT: _C,,,,,,^1.4494*14.164
Date,Time,ms,LEVEL,TEMPERATURE,FEET,NewDepth
12/19/2013,9:52:14,0,99,20.2,-7.403026135,#NUM!
12/19/2013,10:07:14,0,99,20.6,-7.403026135,#NUM!
12/19/2013,10:22:14,0,100,20.4,-5.868867492,#NUM!
12/19/2013,10:37:14,0,99,19.6,-7.403026135,#NUM!
12/19/2013,10:52:14,0,99,19.8,-7.403026135,#NUM!
12/19/2013,11:07:14,0,99,20,-7.403026135,#NUM!
12/19/2013,11:22:14,0,99,19.9,-7.403026135,#NUM!
12/19/2013,11:37:14,0,99,20.4,-7.403026135,#NUM!
12/19/2013,11:52:14,0,99,21.4,-7.403026135,#NUM!
12/19/2013,12:07:14,0,99,22.1,-7.403026135,#NUM!
12/19/2013,12:22:14,0,99,22.5,-7.403026135,#NUM!
12/19/2013,12:37:14,0,99,22.6,-7.403026135,#NUM!
12/19/2013,12:52:14,0,99,22.6,-7.403026135,#NUM!
12/19/2013,13:07:14,0,100,22.7,-5.868867492,#NUM!
12/19/2013,13:22:14,0,101,22.7,-4.334708849,#NUM!
12/19/2013,13:37:14,0,101,22.1,-4.334708849,#NUM!
12/19/2013,13:52:14,0,101,21.9,-4.334708849,#NUM!
12/19/2013,14:07:14,0,101,21.7,-4.334708849,#NUM!
12/19/2013,14:22:14,0,101,21.5,-4.334708849,#NUM!
12/19/2013,14:37:14,0,101,21.4,-4.334708849,#NUM!
12/19/2013,14:52:14,0,101,21.2,-4.334708849,#NUM!
12/19/2013,15:07:14,0,101,21.1,-4.334708849,#NUM!
12/19/2013,15:22:14,0,101,21,-4.334708849,#NUM!
12/19/2013,15:37:14,0,101,20.9,-4.334708849,#NUM!
12/19/2013,15:52:14,0,101,20.8,-4.334708849,#NUM!
12/19/2013,16:07:14,0,101,20.7,-4.334708849,#NUM!
12/19/2013,16:22:14,0,101,20.7,-4.334708849,#NUM!
12/19/2013,16:37:14,0,101,20.6,-4.334708849,#NUM!
12/19/2013,16:52:14,0,101,20.5,-4.334708849,#NUM!
12/19/2013,17:07:14,0,101,20.5,-4.334708849,#NUM!
12/19/2013,17:22:14,0,101,20.4,-4.334708849,#NUM!
12/19/2013,17:37:14,0,101,20.4,-4.334708849,#NUM!
12/19/2013,17:52:14,0,101,20.3,-4.334708849,#NUM!
12/19/2013,18:07:14,0,101,20.3,-4.334708849,#NUM!
12/19/2013,18:22:14,0,101,20.3,-4.334708849,#NUM!
12/19/2013,18:37:14,0,101,20.2,-4.334708849,#NUM!
12/19/2013,18:52:14,0,101,20.2,-4.334708849,#NUM!
12/19/2013,19:07:14,0,101,20.2,-4.334708849,#NUM!
12/19/2013,19:22:14,0,101,20.2,-4.334708849,#NUM!
12/19/2013,19:37:14,0,101,20.2,-4.334708849,#NUM!
