Serial_number:,,,,,
2000706,,,,,
Project ID:,,,,,
ESC,,,,,
Location:,,,,,
EDC 50,,,,,
Elevation,Elevation of #153,,,,
560,396,,,,
LEVEL,,,,,
UNIT: kPa,,,,,
Offset: 0.000000 kPa,,,,,
TEMPERATURE,,,,,
UNIT: _C,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,kpa_ft
12/19/2013,9:46:50,0,99.1293,20.57,-0.111030418
12/19/2013,10:01:50,0,99.1058,20.212,-0.118408069
12/19/2013,10:16:50,0,99.157,19.532,-0.102334209
12/19/2013,10:31:50,0,99.1667,18.595,-0.099288966
12/19/2013,10:46:50,0,99.1499,18.594,-0.104563201
12/19/2013,11:01:50,0,99.2088,18.816,-0.086071983
12/19/2013,11:16:50,0,99.0388,18.752,-0.139442222
12/19/2013,11:31:50,0,99.1491,18.947,-0.104814355
12/19/2013,11:46:50,0,99.1273,19.457,-0.111658304
12/19/2013,12:01:50,0,99.0925,20.077,-0.122583505
12/19/2013,12:16:50,0,99.0654,20.57,-0.131091349
12/19/2013,12:31:50,0,99.0482,20.894,-0.136491162
12/19/2013,12:46:50,0,99.0273,21.071,-0.143052561
12/19/2013,13:01:50,0,98.3427,21.154,-0.357977651
12/19/2013,13:16:50,0,100.319,21.303,0.262467067
12/19/2013,13:31:50,0,100.324,21.179,0.26403678
12/19/2013,13:46:50,0,100.316,20.947,0.261525239
12/19/2013,14:01:50,0,100.305,20.729,0.258071871
12/19/2013,14:16:50,0,100.286,20.537,0.252106962
12/19/2013,14:31:50,0,100.291,20.368,0.253676675
12/19/2013,14:46:50,0,100.273,20.214,0.248025708
12/19/2013,15:01:50,0,100.264,20.076,0.245200225
12/19/2013,15:16:50,0,100.275,19.956,0.248653594
12/19/2013,15:31:50,0,100.287,19.848,0.252420904
12/19/2013,15:46:50,0,100.269,19.752,0.246769938
12/19/2013,16:01:50,0,100.273,19.664,0.248025708
12/19/2013,16:16:50,0,100.286,19.587,0.252106962
12/19/2013,16:31:50,0,100.277,19.515,0.249281479
12/19/2013,16:46:50,0,100.289,19.448,0.25304879
12/19/2013,17:01:50,0,100.285,19.386,0.251793019
12/19/2013,17:16:50,0,100.297,19.329,0.25556033
12/19/2013,17:31:50,0,100.299,19.278,0.256188215
12/19/2013,17:46:50,0,100.301,19.233,0.256816101
12/19/2013,18:01:50,0,100.303,19.195,0.257443986
12/19/2013,18:16:50,0,100.302,19.167,0.257130043
12/19/2013,18:31:50,0,100.311,19.147,0.259955526
12/19/2013,18:46:50,0,100.326,19.131,0.264664665
12/19/2013,19:01:50,0,100.351,19.116,0.272513229
12/19/2013,19:16:50,0,100.352,19.103,0.272827172
12/19/2013,19:31:50,0,100.342,19.088,0.269687746
12/19/2013,19:46:50,0,100.34,19.076,0.269059861
12/19/2013,20:01:50,0,100.345,19.063,0.270629574
12/19/2013,20:16:50,0,100.373,19.051,0.279419966
12/19/2013,20:31:50,0,100.364,19.041,0.276594483
12/19/2013,20:46:50,0,100.355,19.036,0.273769
12/19/2013,21:01:50,0,100.38,19.033,0.281617564
12/19/2013,21:16:50,0,100.382,19.032,0.282245449
12/19/2013,21:31:50,0,100.38,19.031,0.281617564
12/19/2013,21:46:50,0,100.373,19.031,0.279419966
